Preciso marcar uma reunião de estudos no discord,discord_reservar_sala_de_estudos
Quero usar a sala poseidon de estudos,discord_reservar_sala_de_estudos
Gostaria de reservar uma sala de estudos,discord_reservar_sala_de_estudos
Quero agendar uma reunião na sala de estudos,discord_reservar_sala_de_estudos
Guarda um horário na sala de estudos do discord,discord_reservar_sala_de_estudos
ñ,nao
negativo,nao
discordo,nao
errado,nao
não,nao
positivo,sim
concordo,sim
com certeza,sim
okay,sim
certo,sim
ok,sim
sim,sim
confirmo,sim
isso mesmo,sim
exato,sim
